Devices,Mix,Concurrency,WaveS,p50_sts,p95_sts,p99_sts,Max_sts,QueueMax,MongoOpsPerS,MongoP95Ms,Overlap,Result,Bottleneck
15,all_up,20,0.390,,,,,1,81.2,0.4054000019095838,0,PASS,none
100,all_up,20,0.386,,,,,3,527.2,0.8226999780163169,0,PASS,none
