Devices,Mix,Concurrency,WaveS,p50_sts,p95_sts,p99_sts,Max_sts,QueueMax,MongoOpsPerS,MongoP95Ms,Overlap,Result,Bottleneck,PingP50,QueueWaitP95,WorkerUtil,ClaimsWon,Conflicts,Threads,RssMb
100,all_down,20,15.305,,,,,0,13.6,1.5435999998771877,0,PASS,none,3000.0,6.056599999965329,98.21070234113712,100,0,8,
100,all_down,30,15.305,,,,,0,13.6,1.5435999998771877,0,PASS,none,3000.0,6.056599999965329,98.21070234113712,100,0,,
100,all_down,40,15.305,,,,,0,13.6,1.5435999998771877,0,PASS,none,3000.0,6.056599999965329,98.21070234113712,100,0,,
100,all_down,50,15.305,,,,,0,13.6,1.5435999998771877,0,PASS,none,3000.0,6.056599999965329,98.21070234113712,100,0,,
100,all_down,60,15.305,,,,,0,13.6,1.5435999998771877,0,PASS,none,3000.0,6.056599999965329,98.21070234113712,100,0,,
100,all_down,64,15.305,,,,,0,13.6,1.5435999998771877,0,PASS,none,3000.0,6.056599999965329,98.21070234113712,100,0,,
100,intermittent,20,15.255,,,,,8,13.5,4.401899999948,0,PASS,none,3000.0,7.790500000055545,98.19397993311037,100,0,8,
100,intermittent,30,15.255,,,,,8,13.5,4.401899999948,0,PASS,none,3000.0,7.790500000055545,98.19397993311037,100,0,,
100,intermittent,40,15.255,,,,,8,13.5,4.401899999948,0,PASS,none,3000.0,7.790500000055545,98.19397993311037,100,0,,
100,intermittent,50,15.255,,,,,8,13.5,4.401899999948,0,PASS,none,3000.0,7.790500000055545,98.19397993311037,100,0,,
100,intermittent,60,15.255,,,,,8,13.5,4.401899999948,0,PASS,none,3000.0,7.790500000055545,98.19397993311037,100,0,,
100,intermittent,64,15.255,,,,,8,13.5,4.401899999948,0,PASS,none,3000.0,7.790500000055545,98.19397993311037,100,0,,
100,slow,20,1.930,,,,,2,121.1,2.443200000016077,0,PASS,none,300.00000000000006,5.1135000001067965,75.94594594594595,100,0,8,
100,slow,30,1.930,,,,,2,121.1,2.443200000016077,0,PASS,none,300.00000000000006,5.1135000001067965,75.94594594594595,100,0,,
100,slow,40,1.930,,,,,2,121.1,2.443200000016077,0,PASS,none,300.00000000000006,5.1135000001067965,75.94594594594595,100,0,,
100,slow,50,1.930,,,,,2,121.1,2.443200000016077,0,PASS,none,300.00000000000006,5.1135000001067965,75.94594594594595,100,0,,
100,slow,60,1.930,,,,,2,121.1,2.443200000016077,0,PASS,none,300.00000000000006,5.1135000001067965,75.94594594594595,100,0,,
100,slow,64,1.930,,,,,2,121.1,2.443200000016077,0,PASS,none,300.00000000000006,5.1135000001067965,75.94594594594595,100,0,,
250,all_up,20,0.818,,,,,10,625.5,0.46590000010837684,0,PASS,none,11.0,6.74909999997908,0.0,250,0,8,
250,all_up,30,0.818,,,,,10,625.5,0.46590000010837684,0,PASS,none,11.0,6.74909999997908,0.0,250,0,,
250,all_up,40,0.818,,,,,10,625.5,0.46590000010837684,0,PASS,none,11.0,6.74909999997908,0.0,250,0,,
250,all_up,50,0.818,,,,,10,625.5,0.46590000010837684,0,PASS,none,11.0,6.74909999997908,0.0,250,0,,
250,all_up,60,0.818,,,,,10,625.5,0.46590000010837684,0,PASS,none,11.0,6.74909999997908,0.0,250,0,,
250,all_up,64,0.818,,,,,10,625.5,0.46590000010837684,0,PASS,none,11.0,6.74909999997908,0.0,250,0,,
250,half,20,21.588,,,,,0,28.6,5.568900000071153,0,PASS WITH LIMITED HEADROOM,limited_headroom,10.0,4.790100000036546,87.06601466992664,250,0,8,
250,half,30,15.428,,,,,7,38.6,5.636599999888858,0,PASS,none,10.0,5.414200000132041,82.17241379310344,250,0,8,
250,half,40,15.428,,,,,7,38.6,5.636599999888858,0,PASS,none,10.0,5.414200000132041,82.17241379310344,250,0,,
250,half,50,15.428,,,,,7,38.6,5.636599999888858,0,PASS,none,10.0,5.414200000132041,82.17241379310344,250,0,,
250,half,60,15.428,,,,,7,38.6,5.636599999888858,0,PASS,none,10.0,5.414200000132041,82.17241379310344,250,0,,
250,half,64,15.428,,,,,7,38.6,5.636599999888858,0,PASS,none,10.0,5.414200000132041,82.17241379310344,250,0,,
250,all_down,20,39.948,,,,,8,14.5,10.001299999885305,0,FAIL,wave_exceeds_interval,3000.0,10.494500000049811,94.62938881664499,250,0,8,
250,all_down,30,27.438,,,,,10,21.0,6.733000000167522,0,PASS WITH LIMITED HEADROOM,limited_headroom,3000.0,6.4522000000124535,91.296992481203,250,0,8,
